Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,responses,type,view_history,trial_category,stimulus,key_press,sensible,critical,Class,practice,order,correct,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1011,,html-keyboard-response,130,127512,0.0-61.0-0.0,as579xkfbo,as579xkfbo,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_a_M1_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,724,,html-keyboard-response,131,128238,0.0-61.0-1.0,as579xkfbo,as579xkfbo,,,,,She had a toy block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_a_M1_a,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1767,,html-keyboard-response,224,391812,0.0-108.0-0.0,cc3hevp58v,cc3hevp58v,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_a_M1_b,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Non-binary,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,488,,html-keyboard-response,225,392302,0.0-108.0-1.0,cc3hevp58v,cc3hevp58v,,,,,She had a wooden block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_a_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Non-binary,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,933,,html-keyboard-response,140,281816,0.0-66.0-0.0,alz7fhu0re,alz7fhu0re,,,,,She had a toy block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_a_M2_b,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1890,,html-keyboard-response,141,283707,0.0-66.0-1.0,alz7fhu0re,alz7fhu0re,,,,,She had a writer's block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_a_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1202,,html-keyboard-response,40,81717,0.0-16.0-0.0,z5w84zjmh5,z5w84zjmh5,,,,,She had a toy block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_a_M2_b,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1078,,html-keyboard-response,41,82796,0.0-16.0-1.0,z5w84zjmh5,z5w84zjmh5,,,,,She had a writer's block.<p>,88,S,yes,N,main,second,,block,FALSE,M1_a_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,18,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1570,,html-keyboard-response,170,291030,0.0-81.0-0.0,akwl4psato,akwl4psato,,,,,She had a toy block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_a_M2_b,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2022,,html-keyboard-response,171,293053,0.0-81.0-1.0,akwl4psato,akwl4psato,,,,,She had a writer's block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_a_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair
